away,home,fd_away,fd_home,ou_line,fg_wp_away,fg_wp_home,away_sp,home_sp
ATL,PHI,100,100,8.5,0.5,0.5,na,na
MIL,CIN,100,100,8.5,0.5,0.5,na,na
BOS,DET,100,100,8.5,0.5,0.5,na,na
CHC,WSH,100,100,8.5,0.5,0.5,na,na
SDP,TBR,100,100,8.5,0.5,0.5,na,na
STL,NYY,100,100,8.5,0.5,0.5,na,na
PIT,CLE,100,100,8.5,0.5,0.5,na,na
OAK,TEX,100,100,8.5,0.5,0.5,na,na
KCR,HOU,100,100,8.5,0.5,0.5,na,na
TOR,MIN,100,100,8.5,0.5,0.5,na,na
NYM,CWS,100,100,8.5,0.5,0.5,na,na
BAL,COL,100,100,8.5,0.5,0.5,na,na
SEA,LAA,100,100,8.5,0.5,0.5,na,na
LAD,ARI,100,100,8.5,0.5,0.5,na,na
MIA,SFG,100,100,8.5,0.5,0.5,na,na
