away,home,fd_away,fd_home,fg_wp_away,fg_wp_home,away_sp,home_sp,away_sp_era,home_sp_era
CIN,TBR,-120,102,0.438,0.562,Hunter Greene,Shawn Armstrong,3.14,na
CLE,PHI,108,-126,0.467,0.533,Joey Cantillo,Kolby Allard,na,na
SDP,BAL,120,-142,0.458,0.542,Dandy Vasquez,Albert Suarez,4.17,3.48
TEX,TOR,-120,102,0.524,0.476,Jon Gray,Jose Berrios,3.73,4.08
ATL,NYM,100,-118,0.499,0.501,Lopez,Peterson,2.12,3.14
MIN,DET,-152,128,0.527,0.473,Ober,Faedo,4.04,na
MIA,MIL,166,-198,0.39,0.61,Kyle Tyler,Tobias Myers,3.92,3.14
SEA,CWS,-130,110,0.442,0.558,Bryce Miller,Garrett Crochet,3.41,3.07
LAD,HOU,104,-122,0.427,0.573,River Ryan,Spencer Arrigheti,na,5.65
CHC,KCR,142,-168,0.369,0.631,Javier Assad,Cole Ragans,3.15,3.23
WSH,STL,128,-152,0.408,0.592,DJ Herz,Miles Mikolas,4.95,5.02
COL,SFG,154,-184,0.346,0.654,Austin Gomber,Jordan Hicks,4.7,4.01
OAK,LAA,116,-136,0.423,0.577,Osvaldo Bido,Jose Soriano,3.09,3.51
PIT,ARI,-102,-116,0.478,0.522,Mitch Keller,Yilber Diaz,3.34,5.4
NYY,BOS,-108,-108,0.463,0.537,Carlos Rodon,Tanner Houck,4.42,2.71
