Tm,W,L,pythWL
Philadelphia Phillies,62,36,60-38
Baltimore Orioles,60,38,58-40
Cleveland Guardians,59,38,57-40
New York Yankees,59,41,61-39
Los Angeles Dodgers,58,41,59-40
Milwaukee Brewers,56,42,58-40
Atlanta Braves,54,43,56-41
Minnesota Twins,54,43,53-44
Boston Red Sox,53,44,53-44
Kansas City Royals,54,45,57-42
Houston Astros,52,46,55-43
St. Louis Cardinals,51,47,45-53
Seattle Mariners,52,48,52-48
New York Mets,50,47,50-47
Arizona Diamondbacks,51,48,52-47
Pittsburgh Pirates,50,48,48-50
San Diego Padres,51,50,52-49
Tampa Bay Rays,49,49,43-55
Detroit Tigers,49,50,49-50
Cincinnati Reds,47,52,53-46
San Francisco Giants,47,52,46-53
Chicago Cubs,47,53,49-51
Texas Rangers,46,52,49-49
Washington Nationals,46,53,46-53
Toronto Blue Jays,44,54,42-56
Los Angeles Angels,41,57,39-59
Oakland Athletics,39,61,43-57
Colorado Rockies,36,63,35-64
Miami Marlins,34,64,33-65
Chicago White Sox,27,73,30-70
