Tm,W,L,pythWL,ERA
Arizona Diamondbacks,55,50,55-50,4.5
Atlanta Braves,55,48,57-46,3.48
Baltimore Orioles,61,43,60-44,3.76
Boston Red Sox,55,48,54-49,3.89
Chicago Cubs,50,56,52-54,3.73
Chicago White Sox,27,80,30-77,4.67
Cincinnati Reds,50,54,56-48,3.84
Cleveland Guardians,62,42,60-44,3.67
Colorado Rockies,38,68,38-68,5.54
Detroit Tigers,52,54,53-53,3.91
Houston Astros,55,49,58-46,4
Kansas City Royals,57,48,60-45,3.78
Los Angeles Angels,45,60,43-62,4.61
Los Angeles Dodgers,62,44,62-44,3.81
Miami Marlins,39,66,38-67,4.46
Milwaukee Brewers,59,45,60-44,3.75
Minnesota Twins,57,46,56-47,4.13
New York Mets,55,49,54-50,4.15
New York Yankees,61,45,63-43,3.69
Oakland Athletics,44,63,47-60,4.37
Philadelphia Phillies,65,39,64-40,3.42
Pittsburgh Pirates,52,52,51-53,3.83
San Diego Padres,57,50,57-50,4.02
San Francisco Giants,52,55,52-55,4.35
Seattle Mariners,55,51,56-50,3.36
St. Louis Cardinals,53,51,47-57,4.1
Tampa Bay Rays,53,52,47-58,4.11
Texas Rangers,51,54,53-52,4.02
Toronto Blue Jays,48,56,44-60,4.53
Washington Nationals,49,56,49-56,4.2
