,away,home,awayFgvFD,homeFGvFD,away_yh,home_yh,away_wp,home_wp,away_fd,home_fd,fg_away,fg_home,juice
0,LAA,DET,0.01899999999999996,-0.06000000000000005,-0.028000000000000025,-0.013000000000000012,0.36,0.64,0.388,0.653,0.407,0.593,0.040999999999999925
1,TEX,CWS,-0.06299999999999994,0.02400000000000002,0.07499999999999996,-0.11399999999999999,0.7969999999999999,0.203,0.722,0.317,0.659,0.341,0.038999999999999924
2,SFG,MIL,-0.04400000000000004,0.0050000000000000044,-0.055999999999999994,0.017000000000000015,0.40700000000000003,0.593,0.463,0.576,0.419,0.581,0.038999999999999924
3,SDP,STL,-0.057999999999999996,0.020000000000000018,0.08499999999999996,-0.123,0.604,0.396,0.519,0.519,0.461,0.539,0.038000000000000034
4,MIA,COL,-0.008000000000000007,-0.03200000000000003,0.07099999999999995,-0.11100000000000004,0.5609999999999999,0.439,0.49,0.55,0.482,0.518,0.040000000000000036
5,NYM,ARI,-0.03699999999999998,-0.0030000000000000027,0.02300000000000002,-0.06300000000000006,0.518,0.482,0.495,0.545,0.458,0.542,0.040000000000000036
6,OAK,CIN,-0.0020000000000000018,-0.03700000000000003,-0.13,0.09099999999999997,0.351,0.649,0.481,0.558,0.479,0.521,0.039000000000000146
7,ATL,PHI,-0.02699999999999997,-0.013000000000000012,-0.063,0.02300000000000002,0.368,0.632,0.431,0.609,0.404,0.596,0.040000000000000036
8,TOR,BOS,-0.07300000000000001,0.031000000000000028,-0.055999999999999994,0.014000000000000012,0.399,0.601,0.455,0.587,0.382,0.618,0.04200000000000004
9,KCR,HOU,-0.05399999999999999,0.013000000000000012,0.08800000000000002,-0.129,0.523,0.477,0.435,0.606,0.381,0.619,0.040999999999999925
10,BAL,LAD,-0.05499999999999999,0.014000000000000012,0.05299999999999999,-0.09399999999999997,0.488,0.512,0.435,0.606,0.38,0.62,0.040999999999999925
